Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,
Furniture,Henderson,United States,Claire Gute,11/8/2016,South,Consumer,11/11/2016,SecondClass,ShippedOnTime,Kentucky,Bookcases,3,3,0,1,42,41.91,0.16,2,262,392,261.96,262
Furniture,Henderson,United States,Claire Gute,11/8/2016,South,Consumer,11/11/2016,SecondClass,ShippedOnTime,Kentucky,Chairs,3,3,0,1,220,219.58,0.3,3,732,1096,731.94,732
OfficeSupplies,Los Angeles,United States,Darrin Van Huff,6/12/2016,West,Corporate,6/16/2016,SecondClass,ShippedLate,California,Labels,4,3,0,1,7,6.87,0.47,2,15,22,14.62,15
Furniture,Fort Lauderdale,United States,Sean O'Donnell,10/11/2015,South,Consumer,10/18/2015,StandardClass,ShippedLate,Florida,Tables,7,6,0.45,1,-383,-383.03,-0.4,5,958,1434,957.58,1742
OfficeSupplies,Fort Lauderdale,United States,Sean O'Donnell,10/11/2015,South,Consumer,10/18/2015,StandardClass,ShippedLate,Florida,Storage,7,6,0.2,1,3,2.52,0.11,2,22,33,22.37,28
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,StandardClass,ShippedEarly,California,Furnishings,5,6,0,1,14,14.17,0.29,7,49,73,48.86,49
OfficeSupplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,StandardClass,ShippedEarly,California,Art,5,6,0,1,2,1.97,0.27,4,7,11,7.28,7
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,StandardClass,ShippedEarly,California,Phones,5,6,0.2,1,91,90.72,0.1,6,907,1359,907.15,1134
OfficeSupplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,StandardClass,ShippedEarly,California,Binders,5,6,0.2,1,6,5.78,0.31,3,19,28,18.5,24
OfficeSupplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,StandardClass,ShippedEarly,California,Appliances,5,6,0,1,34,34.47,0.3,5,115,172,114.9,115
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,StandardClass,ShippedEarly,California,Tables,5,6,0.2,1,85,85.31,0.05,9,1706,2555,1706.18,2133
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,StandardClass,ShippedEarly,California,Phones,5,6,0.2,1,68,68.36,0.08,4,911,1365,911.42,1139
OfficeSupplies,Concord,United States,Andrew Allen,4/15/2017,South,Consumer,4/20/2017,StandardClass,ShippedEarly,North Carolina,Paper,5,6,0.2,1,5,5.44,0.35,3,16,23,15.55,20
OfficeSupplies,Seattle,United States,Irene Maddox,12/5/2016,West,Consumer,12/10/2016,StandardClass,ShippedEarly,Washington,Binders,5,6,0.2,1,133,132.59,0.33,3,408,611,407.98,510
OfficeSupplies,Fort Worth,United States,Harold Pawlan,11/22/2015,Central,HomeOffice,11/26/2015,StandardClass,ShippedEarly,Texas,Appliances,4,6,0.8,1,-124,-123.86,-1.8,5,69,103,68.81,345
OfficeSupplies,Fort Worth,United States,Harold Pawlan,11/22/2015,Central,HomeOffice,11/26/2015,StandardClass,ShippedEarly,Texas,Binders,4,6,0.8,1,-4,-3.82,-1.5,3,3,4,2.54,15
OfficeSupplies,Madison,United States,Pete Kriz,11/11/2014,Central,Consumer,11/18/2014,StandardClass,ShippedLate,Wisconsin,Storage,7,6,0,1,13,13.32,0.02,6,666,997,665.88,666
OfficeSupplies,West Jordan,United States,Alejandro Grove,5/13/2014,West,Consumer,5/15/2014,SecondClass,ShippedEarly,Utah,Storage,2,3,0,1,10,9.99,0.18,2,56,83,55.5,56
OfficeSupplies,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,SecondClass,ShippedLate,California,Art,5,3,0,1,2,2.48,0.29,2,9,13,8.56,9
Technology,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,SecondClass,ShippedLate,California,Phones,5,3,0.2,1,16,16.01,0.08,3,213,320,213.48,266
OfficeSupplies,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,SecondClass,ShippedLate,California,Binders,5,3,0.2,1,7,7.38,0.33,4,23,34,22.72,29
OfficeSupplies,Fremont,United States,Ken Black,12/9/2016,Central,Corporate,12/13/2016,StandardClass,ShippedEarly,Nebraska,Art,4,6,0,1,5,5.06,0.26,7,19,29,19.46,19
OfficeSupplies,Fremont,United States,Ken Black,12/9/2016,Central,Corporate,12/13/2016,StandardClass,ShippedEarly,Nebraska,Appliances,4,6,0,1,16,15.69,0.26,7,60,90,60.34,60
Furniture,Philadelphia,United States,Sandra Flanagan,7/16/2017,East,Consumer,7/18/2017,SecondClass,ShippedEarly,Pennsylvania,Chairs,2,3,0.3,1,-1,-1.02,-0.01,2,71,107,71.37,101
Furniture,Orem,United States,Emily Burns,9/25/2015,West,Consumer,9/30/2015,StandardClass,ShippedEarly,Utah,Tables,5,6,0,1,240,240.26,0.23,3,1045,1564,1044.63,1045
OfficeSupplies,Los Angeles,United States,Eric Hoffmann,1/16/2016,West,Consumer,1/20/2016,SecondClass,ShippedLate,California,Binders,4,3,0.2,1,4,4.22,0.36,2,12,17,11.65,15
Technology,Los Angeles,United States,Eric Hoffmann,1/16/2016,West,Consumer,1/20/2016,SecondClass,ShippedLate,California,Accessories,4,3,0,1,12,11.77,0.13,3,91,136,90.57,91
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,StandardClass,ShippedEarly,Pennsylvania,Bookcases,4,6,0.5,1,-1665,-1665.05,-0.54,7,3083,4618,3083.43,6166
OfficeSupplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,StandardClass,ShippedEarly,Pennsylvania,Binders,4,6,0.7,1,-7,-7.05,-0.73,2,10,14,9.62,33
Furniture,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,StandardClass,ShippedEarly,Pennsylvania,Furnishings,4,6,0.2,1,16,15.52,0.13,3,124,186,124.2,155
OfficeSupplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,StandardClass,ShippedEarly,Pennsylvania,Envelopes,4,6,0.2,1,1,1.1,0.34,2,3,5,3.26,4
OfficeSupplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,StandardClass,ShippedEarly,Pennsylvania,Art,4,6,0.2,1,10,9.71,0.11,6,86,129,86.3,108
OfficeSupplies,Philadelphia,United States,Tracy Blumstein,9/17/2015,East,Consumer,9/21/2015,StandardClass,ShippedEarly,Pennsylvania,Binders,4,6,0.7,1,-6,-5.71,-0.83,6,7,10,6.86,23
