Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,saleswodic,Discount
Furniture,Henderson,United States,Claire Gute,11/8/2016,South,Consumer,11/11/2016,Second Class,Shipped On Time,Kentucky,Bookcases,3,3,0.18,1,-4,41.91,-0.02,2,214.84,392,261.96,262,0
Furniture,Henderson,United States,Claire Gute,11/8/2016,South,Consumer,11/11/2016,Second Class,Shipped On Time,Kentucky,Chairs,3,3,0.18,1,72,219.58,0.12,3,600.24,1096,731.94,732,0
Office Supplies,Los Angeles,United States,Darrin Van Huff,6/12/2016,West,Corporate,6/16/2016,Second Class,Shipped Late,California,Labels,4,3,0.25,1,2,6.87,0.22,2,11.25,22,14.62,15,0
Furniture,Fort Lauderdale,United States,Sean O'Donnell,10/11/2015,South,Consumer,10/18/2015,Standard Class,Shipped Late,Florida,Tables,7,6,0.18,1,-186,-383.03,-0.13,5,1428.290909,1434,957.58,1742,0.45
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,10/11/2015,South,Consumer,10/18/2015,Standard Class,Shipped Late,Florida,Storage,7,6,0.25,1,1,2.52,0.06,2,20.625,33,22.37,28,0.2
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Furnishings,5,6,0.18,1,4,14.17,0.11,7,40.18,73,48.86,49,0
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Art,5,6,0.25,1,0,1.97,0.02,4,5.25,11,7.28,7,0
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Phones,5,6,0.2,1,91,90.72,0.1,6,907,1359,907.15,1134,0.2
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Binders,5,6,0.25,1,5,5.78,0.26,3,17.8125,28,18.5,24,0.2
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Appliances,5,6,0.25,1,4,34.47,0.05,5,86.25,172,114.9,115,0
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Tables,5,6,0.18,1,122,85.31,0.07,9,1748.65,2555,1706.18,2133,0.2
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Phones,5,6,0.2,1,73,68.36,0.08,4,911,1365,911.42,1139,0.2
