Category,City,Country,CustomerName,OrderDate,Region,Segment,ShipDate,ShipMode,ShipStatus,State,SubCategory,DaystoShipActual,DaystoShipScheduled,Discount,NumberofRecords,Profit,ProfitperOrder,ProfitRatio,Quantity,Sales,SalesForecast,SalesperCustomer,saleswodic
Furniture,Henderson,United States,Claire Gute,11/8/2016,South,Consumer,11/11/2016,Second Class,Shipped On Time,Kentucky,Bookcases,3,3,0.15,1,-31,-31,-0.14,2,223,392,261.96,262
Furniture,Henderson,United States,Claire Gute,11/8/2016,South,Consumer,11/11/2016,Second Class,Shipped On Time,Kentucky,Chairs,3,3,0,1,117,117,0.16,3,732,1096,731.94,732
Office Supplies,Los Angeles,United States,Darrin Van Huff,6/12/2016,West,Corporate,6/16/2016,Second Class,Shipped Late,California,Labels,4,3,0,1,2,2,0.16,2,15,22,14.62,15
Furniture,Fort Lauderdale,United States,Sean O'Donnell,10/11/2015,South,Consumer,10/18/2015,Standard Class,Shipped Late,Florida,Tables,7,6,0.2,1,571,571,0.41,5,1393,1434,957.58,1742
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,10/11/2015,South,Consumer,10/18/2015,Standard Class,Shipped Late,Florida,Storage,7,6,0.2,1,7,7,0.3,2,22,33,22.37,28
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Furnishings,5,6,0,1,23,23,0.47,7,49,73,48.86,49
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Art,5,6,0,1,-3,-3,-0.4,4,7,11,7.28,7
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Phones,5,6,0.2,1,100,100,0.11,6,907,1359,907.15,1134
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Binders,5,6,0.2,1,6,6,0.29,3,19,28,18.5,24
Office Supplies,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Appliances,5,6,0,1,31,31,0.27,5,115,172,114.9,115
Furniture,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Tables,5,6,0.2,1,171,171,0.1,9,1706,2555,1706.18,2133
Technology,Los Angeles,United States,Brosina Hoffman,6/9/2014,West,Consumer,6/14/2014,Standard Class,Shipped Early,California,Phones,5,6,0.2,1,282,282,0.31,4,911,1365,911.42,1139
Office Supplies,Concord,United States,Andrew Allen,4/15/2017,South,Consumer,4/20/2017,Standard Class,Shipped Early,North Carolina,Paper,5,6,0.2,1,5,5,0.3,3,16,23,15.55,20
Office Supplies,Seattle,United States,Irene Maddox,12/5/2016,West,Consumer,12/10/2016,Standard Class,Shipped Early,Washington,Binders,5,6,0.2,1,20,20,0.05,3,408,611,407.98,510
Office Supplies,Fort Worth,United States,Harold Pawlan,11/22/2015,Central,Home Office,11/26/2015,Standard Class,Shipped Early,Texas,Appliances,4,6,0.8,1,6,6,0.08,5,69,103,68.81,345
Office Supplies,Fort Worth,United States,Harold Pawlan,11/22/2015,Central,Home Office,11/26/2015,Standard Class,Shipped Early,Texas,Binders,4,6,0.8,1,1,1,0.35,3,3,4,2.54,15
Office Supplies,Madison,United States,Pete Kriz,11/11/2014,Central,Consumer,11/18/2014,Standard Class,Shipped Late,Wisconsin,Storage,7,6,0,1,220,220,0.33,6,666,997,665.88,666
Office Supplies,West Jordan,United States,Alejandro Grove,5/13/2014,West,Consumer,5/15/2014,Second Class,Shipped Early,Utah,Storage,2,3,0,1,-101,-101,-1.8,2,56,83,55.5,56
Office Supplies,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,Second Class,Shipped Late,California,Art,5,3,0,1,-14,-14,-1.5,2,9,13,8.56,9
Technology,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,Second Class,Shipped Late,California,Phones,5,3,0.2,1,4,4,0.02,3,213,320,213.48,266
Office Supplies,San Francisco,United States,Zuschuss Donatelli,8/27/2014,West,Consumer,9/1/2014,Second Class,Shipped Late,California,Binders,5,3,0.2,1,4,4,0.18,4,23,34,22.72,29
Office Supplies,Fremont,United States,Ken Black,12/9/2016,Central,Corporate,12/13/2016,Standard Class,Shipped Early,Nebraska,Art,4,6,0,1,6,6,0.29,7,19,29,19.46,19
